Track Name,Artist,Album,Image URL,Spotify URL,Context URI
Senin İçin Bu Alemi Yakarım,Aynur Polat,Senin İçin Bu Alemi Yakarım,https://i.scdn.co/image/ab67616d0000b2739e88d17cf9c6d7727510e3c2,https://open.spotify.com/track/6KGyKYd4ZjHzeWCzbLRosw,spotify:album:0vqTS1qA0Zcj7l7AHkgxL7
Senden Güzeli Mi Var,Emre Fel,VEDA TÜRKÜSÜ,https://i.scdn.co/image/ab67616d0000b273463d0bcaed3d2766eea55dec,https://open.spotify.com/track/4ehQRRPPelxT1hIYAy1pgy,spotify:album:7ei9t3MIlufpCNxN9rS8T2
Bi' Tek Ben Anlarım,KÖFN,Bi' Tek Ben Anlarım,https://i.scdn.co/image/ab67616d0000b273d7189564e1333a8d60b07921,https://open.spotify.com/track/7toL7Re9rApzIuIFDaLQSe,spotify:album:0cQbLrbLcdnLnyvYGlLEBV
Geri Dönemedim,Semicenk,Geri Dönemedim,https://i.scdn.co/image/ab67616d0000b273a8d774d6b5dd30564dff82ff,https://open.spotify.com/track/10Sa2Mpma0EHWKLuyyrBdq,spotify:album:2EsFEiIxSLfij6dy5vd1SC
Müphem,Mabel Matiz,Fatih,https://i.scdn.co/image/ab67616d0000b2734868f81271958420add71b28,https://open.spotify.com/track/4rH2IQ3tNg5clDOnzut7RV,spotify:album:7eB3zd25eiAwsUMCcLpRCf
Yaşanmayan Günler Var,DEMET ELLOO,Yaşanmayan Günler Var,https://i.scdn.co/image/ab67616d0000b273a073c62084e89d78987407b6,https://open.spotify.com/track/1KvF3yqQSHcDpkolhCm0Rf,spotify:album:5TOGSTqSWK3UOzx1PdyYnK
Daha Nasıl Sevebilirim,Ziynet Sali,Daha Nasıl Sevebilirim,https://i.scdn.co/image/ab67616d0000b273d0f743896b97844f33a4db00,https://open.spotify.com/track/0Wvad2SQsggWOPq6WdCoyI,spotify:album:5g0lJUG38dwHss5odOP2aV
Başıma Belasın,Aleyna Tilki,Başıma Belasın,https://i.scdn.co/image/ab67616d0000b2738001e835dc5b6f2bc1a13ff4,https://open.spotify.com/track/0Yyy5dSNK3cgknZ86Cto9g,spotify:album:6X7ylEnN9qu3zdK3GsTgYZ
Yana Yana,Semicenk,Yana Yana,https://i.scdn.co/image/ab67616d0000b273c11092c78ad6d32ffa6639b0,https://open.spotify.com/track/7p0ODIG60DRkcTiVlJPgck,spotify:album:0LhcOfHLFQlBQhqGtRPIZy
Dedikodu,Ayaz Erdoğan,Dedikodu,https://i.scdn.co/image/ab67616d0000b27378c73be1b2cafd4982aee872,https://open.spotify.com/track/6wFglgGYj9HRcOjjpqPAjq,spotify:album:7hW2FE5iEJeLBteMG1WIwN
Bir Karanfil,Emir Can İğrek,Bir Karanfil,https://i.scdn.co/image/ab67616d0000b273716e1f060e72f24c29f86a5f,https://open.spotify.com/track/0a56Y5XrlRQ0JYg6jse5QJ,spotify:album:3Yb6RlZyEkrXfbYjsqFzPb
Giderim Senden,Damla Arıcan,Giderim Senden,https://i.scdn.co/image/ab67616d0000b2732c55a3b32d1b841a588f0cf4,https://open.spotify.com/track/1TGZiJUm8RVqup5lovwHfY,spotify:album:3gPrUSQk33I8pT9j4drFZG
IMPARATOR,Sefo,IMPARATOR,https://i.scdn.co/image/ab67616d0000b27372a23c1081799e4972e2906d,https://open.spotify.com/track/5LOnarDCzVh4YcN7EOTzRC,spotify:album:4jnO704ysYulzHEMiY4AIy
